Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Non zero edges,Edge compr. rate,Total graph compr
346,22,20,9.09,50,64,44,12.0,21.09
347,22,20,9.09,44,60,40,9.09,18.18
348,24,22,8.33,52,68,46,11.54,19.869999999999997
349,21,21,0.0,44,65,44,0.0,0.0
350,32,29,9.38,70,91,62,11.43,20.810000000000002
351,27,25,7.41,60,79,54,10.0,17.41
352,20,20,0.0,44,64,44,0.0,0.0
353,29,23,20.69,64,69,46,28.12,48.81
354,31,30,3.23,68,96,66,2.94,6.17
355,23,19,17.39,52,59,40,23.08,40.47
356,27,27,0.0,60,87,60,0.0,0.0
357,29,27,6.9,64,85,58,9.38,16.28
358,22,21,4.55,48,65,45,6.25,10.8
359,30,27,10.0,64,85,58,9.38,19.380000000000003
360,22,19,13.64,48,57,39,18.75,32.39
361,21,20,4.76,44,60,41,6.82,11.58
362,26,18,30.77,58,56,38,34.48,65.25
363,15,15,0.0,34,49,34,0.0,0.0
364,21,18,14.29,44,54,36,18.18,32.47
365,27,25,7.41,60,79,55,8.33,15.74
366,30,29,3.33,66,93,64,3.03,6.359999999999999
367,22,20,9.09,46,60,40,13.04,22.13
368,23,17,26.09,48,49,32,33.33,59.42
369,19,16,15.79,40,48,32,20.0,35.79
370,19,17,10.53,40,51,34,15.0,25.53
371,32,28,12.5,70,86,58,17.14,29.64
372,24,23,4.17,54,73,51,5.56,9.73
373,24,21,12.5,52,65,44,15.38,27.880000000000003
374,29,29,0.0,66,95,66,0.0,0.0
375,31,26,16.13,66,78,52,21.21,37.34
376,26,26,0.0,58,84,58,0.0,0.0
377,30,26,13.33,68,82,56,17.65,30.979999999999997
378,17,15,11.76,34,45,30,11.76,23.52
379,21,19,9.52,44,59,40,9.09,18.61
380,23,23,0.0,50,73,50,0.0,0.0
381,24,22,8.33,52,68,46,11.54,19.869999999999997
382,25,21,16.0,54,63,42,22.22,38.22
383,16,16,0.0,34,50,34,0.0,0.0
384,30,29,3.33,66,93,64,3.03,6.359999999999999
385,20,19,5.0,42,59,40,4.76,9.76
386,21,20,4.76,44,62,42,4.55,9.309999999999999
387,19,19,0.0,40,59,40,0.0,0.0
388,25,21,16.0,56,65,44,21.43,37.43
389,28,25,10.71,60,77,53,11.67,22.380000000000003
390,22,20,9.09,48,62,42,12.5,21.59
391,17,17,0.0,36,53,36,0.0,0.0
392,18,16,11.11,36,46,30,16.67,27.78
393,22,21,4.55,46,63,43,6.52,11.07
394,25,22,12.0,56,70,49,12.5,24.5
395,33,31,6.06,74,99,68,8.11,14.169999999999998
396,27,27,0.0,56,83,56,0.0,0.0
397,25,22,12.0,54,68,46,14.81,26.810000000000002
398,25,25,0.0,56,81,56,0.0,0.0
399,20,19,5.0,42,59,40,4.76,9.76
400,28,26,7.14,60,80,54,10.0,17.14
401,30,28,6.67,66,88,60,9.09,15.76
402,27,25,7.41,60,79,54,10.0,17.41
403,25,22,12.0,54,68,46,14.81,26.810000000000002
404,19,19,0.0,42,61,42,0.0,0.0
405,20,18,10.0,42,56,38,9.52,19.52
406,28,26,7.14,64,84,58,9.38,16.52
407,21,21,0.0,46,67,46,0.0,0.0
408,17,15,11.76,34,45,30,11.76,23.52
409,18,18,0.0,36,54,36,0.0,0.0
410,27,25,7.41,58,79,54,6.9,14.31
411,24,23,4.17,50,71,48,4.0,8.17
412,24,20,16.67,52,60,40,23.08,39.75
413,22,21,4.55,46,65,44,4.35,8.899999999999999
414,19,19,0.0,42,61,42,0.0,0.0
415,22,22,0.0,48,70,48,0.0,0.0
416,29,25,13.79,62,75,50,19.35,33.14
417,25,23,8.0,54,71,48,11.11,19.11
418,25,23,8.0,54,71,48,11.11,19.11
419,26,20,23.08,54,58,38,29.63,52.709999999999994
420,28,24,14.29,64,76,52,18.75,33.04
421,23,23,0.0,52,75,52,0.0,0.0
422,23,22,4.35,48,68,46,4.17,8.52
423,31,31,0.0,68,99,68,0.0,0.0
424,24,22,8.33,52,68,46,11.54,19.869999999999997
425,15,15,0.0,32,47,32,0.0,0.0
426,25,23,8.0,52,69,46,11.54,19.54
427,20,16,20.0,40,46,30,25.0,45.0
428,23,19,17.39,48,57,38,20.83,38.22
429,20,15,25.0,42,43,28,33.33,58.33
430,17,17,0.0,34,51,34,0.0,0.0
431,24,24,0.0,50,74,50,0.0,0.0
432,21,20,4.76,44,62,42,4.55,9.309999999999999
433,26,24,7.69,58,76,52,10.34,18.03
434,22,17,22.73,50,51,37,26.0,48.730000000000004
435,23,21,8.7,52,67,46,11.54,20.24
436,20,18,10.0,42,54,36,14.29,24.29
437,20,16,20.0,44,48,32,27.27,47.269999999999996
438,19,19,0.0,40,59,40,0.0,0.0
439,21,16,23.81,46,46,30,34.78,58.59
440,22,19,13.64,46,57,38,17.39,31.03
441,24,23,4.17,50,71,48,4.0,8.17
442,25,23,8.0,52,69,46,11.54,19.54
443,24,21,12.5,50,63,42,16.0,28.5
444,24,22,8.33,52,68,46,11.54,19.869999999999997
445,25,25,0.0,52,77,52,0.0,0.0
446,22,22,0.0,48,70,48,0.0,0.0
447,23,21,8.7,50,65,44,12.0,20.7
448,25,25,0.0,54,79,54,0.0,0.0
449,27,27,0.0,58,85,58,0.0,0.0
450,22,20,9.09,46,62,42,8.7,17.79
451,36,29,19.44,80,89,60,25.0,44.44
452,33,30,9.09,72,94,64,11.11,20.2
453,20,20,0.0,42,62,42,0.0,0.0
454,28,24,14.29,60,72,48,20.0,34.29
455,26,24,7.69,58,76,52,10.34,18.03
456,17,16,5.88,36,50,34,5.56,11.44
457,23,23,0.0,50,73,50,0.0,0.0
458,21,16,23.81,44,46,31,29.55,53.36
459,34,32,5.88,76,102,70,7.89,13.77
460,23,19,17.39,50,57,38,24.0,41.39
461,27,23,14.81,60,71,48,20.0,34.81
462,25,22,12.0,54,68,46,14.81,26.810000000000002
463,24,21,12.5,52,63,43,17.31,29.81
464,25,21,16.0,54,65,44,18.52,34.519999999999996
465,26,24,7.69,56,74,50,10.71,18.400000000000002
466,19,19,0.0,40,59,40,0.0,0.0
467,25,21,16.0,54,63,43,20.37,36.370000000000005
468,22,21,4.55,46,65,44,4.35,8.899999999999999
469,27,27,0.0,60,87,60,0.0,0.0
470,16,16,0.0,32,48,32,0.0,0.0
471,22,21,4.55,46,65,44,4.35,8.899999999999999
472,18,18,0.0,40,58,40,0.0,0.0
473,23,23,0.0,50,73,50,0.0,0.0
474,23,16,30.43,52,46,32,38.46,68.89
475,21,20,4.76,44,62,42,4.55,9.309999999999999
476,25,20,20.0,54,60,41,24.07,44.07
477,17,17,0.0,38,55,38,0.0,0.0
478,20,20,0.0,42,62,42,0.0,0.0
479,14,11,21.43,30,33,22,26.67,48.1
480,21,19,9.52,44,57,38,13.64,23.16
481,26,24,7.69,56,74,50,10.71,18.400000000000002
482,29,27,6.9,64,85,58,9.38,16.28
483,20,18,10.0,42,54,36,14.29,24.29
484,25,22,12.0,52,66,44,15.38,27.380000000000003
485,21,21,0.0,46,67,46,0.0,0.0
486,23,22,4.35,48,68,46,4.17,8.52
487,25,20,20.0,52,60,40,23.08,43.08
488,15,15,0.0,30,45,30,0.0,0.0
489,23,21,8.7,48,65,44,8.33,17.03
490,26,24,7.69,56,74,50,10.71,18.400000000000002
491,18,16,11.11,38,48,32,15.79,26.9
492,33,31,6.06,74,99,68,8.11,14.169999999999998
493,25,24,4.0,54,76,52,3.7,7.7
494,24,24,0.0,52,76,52,0.0,0.0
495,22,18,18.18,46,52,34,26.09,44.269999999999996
496,23,17,26.09,50,49,32,36.0,62.09
497,16,15,6.25,32,45,30,6.25,12.5
498,22,20,9.09,48,62,42,12.5,21.59
499,19,18,5.26,42,58,40,4.76,10.02
500,25,25,0.0,54,79,54,0.0,0.0
501,19,19,0.0,42,61,42,0.0,0.0
502,27,25,7.41,56,77,52,7.14,14.55
503,23,19,17.39,52,59,40,23.08,40.47
504,31,31,0.0,70,101,70,0.0,0.0
505,22,18,18.18,48,54,37,22.92,41.1
506,16,15,6.25,34,45,31,8.82,15.07
507,28,25,10.71,62,77,53,14.52,25.23
508,33,31,6.06,74,99,68,8.11,14.169999999999998
509,27,22,18.52,56,64,42,25.0,43.519999999999996
510,28,24,14.29,62,74,50,19.35,33.64
511,21,18,14.29,44,54,36,18.18,32.47
512,18,18,0.0,36,54,36,0.0,0.0
513,30,30,0.0,68,98,68,0.0,0.0
514,16,16,0.0,36,52,36,0.0,0.0
515,24,21,12.5,50,63,42,16.0,28.5
516,26,26,0.0,58,84,58,0.0,0.0
517,25,21,16.0,56,65,44,21.43,37.43
518,21,21,0.0,44,65,44,0.0,0.0
519,16,13,18.75,34,39,26,23.53,42.28
520,24,21,12.5,52,63,43,17.31,29.81
521,27,25,7.41,60,79,54,10.0,17.41
522,22,19,13.64,46,57,38,17.39,31.03
523,22,22,0.0,46,68,46,0.0,0.0
524,25,22,12.0,56,68,47,16.07,28.07
525,23,23,0.0,50,73,50,0.0,0.0
526,26,21,19.23,54,63,42,22.22,41.45
527,31,31,0.0,70,101,70,0.0,0.0
528,20,20,0.0,44,64,44,0.0,0.0
529,20,19,5.0,44,61,42,4.55,9.55
530,24,23,4.17,52,73,50,3.85,8.02
531,21,21,0.0,46,67,46,0.0,0.0
532,23,23,0.0,50,73,50,0.0,0.0
533,22,18,18.18,46,54,36,21.74,39.92
534,25,23,8.0,52,69,46,11.54,19.54
535,23,23,0.0,50,73,50,0.0,0.0
536,23,20,13.04,50,62,43,14.0,27.04
537,26,22,15.38,58,68,46,20.69,36.07
538,22,22,0.0,46,68,46,0.0,0.0
539,29,29,0.0,66,95,66,0.0,0.0
540,16,14,12.5,34,42,28,17.65,30.15
541,21,19,9.52,44,57,39,11.36,20.88
542,24,24,0.0,52,76,52,0.0,0.0
543,26,26,0.0,58,84,58,0.0,0.0
544,26,26,0.0,58,84,58,0.0,0.0
545,20,20,0.0,44,64,44,0.0,0.0
546,22,21,4.55,46,65,44,4.35,8.899999999999999
547,25,25,0.0,56,81,56,0.0,0.0
548,28,28,0.0,62,90,62,0.0,0.0
549,21,19,9.52,46,59,40,13.04,22.56
550,22,20,9.09,52,66,46,11.54,20.63
551,23,23,0.0,50,73,50,0.0,0.0
552,19,17,10.53,38,51,34,10.53,21.06
553,23,22,4.35,48,68,46,4.17,8.52
554,20,19,5.0,42,59,40,4.76,9.76
555,29,27,6.9,64,85,59,7.81,14.71
556,28,22,21.43,60,64,42,30.0,51.43
557,22,19,13.64,46,57,38,17.39,31.03
558,19,18,5.26,44,58,41,6.82,12.08
559,20,15,25.0,42,43,28,33.33,58.33
560,23,19,17.39,50,59,40,20.0,37.39
561,28,25,10.71,60,77,52,13.33,24.04
562,27,26,3.7,58,82,56,3.45,7.15
