Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Edge compr. rate
229,29,25,13.79,62,62,19.35
230,30,26,13.33,64,64,17.19
231,22,20,9.09,46,46,17.39
232,20,20,0.0,44,44,0.0
233,25,25,0.0,54,54,0.0
234,26,23,11.54,56,56,17.86
235,17,16,5.88,36,36,5.56
236,21,17,19.05,44,44,29.55
237,21,21,0.0,44,44,0.0
238,21,18,14.29,44,44,20.45
239,14,14,0.0,28,28,0.0
240,20,16,20.0,42,42,35.71
241,18,15,16.67,38,38,31.58
242,23,18,21.74,50,50,34.0
243,25,21,16.0,56,56,28.57
244,19,17,10.53,38,38,7.89
245,17,17,0.0,38,38,0.0
246,31,27,12.9,68,68,22.06
247,28,26,7.14,62,62,12.9
248,20,17,15.0,42,42,23.81
249,16,15,6.25,34,34,5.88
250,28,25,10.71,60,60,16.67
251,27,25,7.41,60,60,13.33
252,33,29,12.12,74,74,21.62
253,18,18,0.0,38,38,0.0
254,25,22,12.0,54,54,20.37
255,18,18,0.0,38,38,0.0
256,31,29,6.45,70,70,11.43
257,24,20,16.67,50,50,14.0
258,20,16,20.0,42,42,38.1
259,30,30,0.0,66,66,0.0
260,28,28,0.0,60,60,0.0
261,21,17,19.05,44,44,27.27
262,28,22,21.43,64,64,37.5
263,26,20,23.08,60,60,38.33
264,24,24,0.0,52,52,0.0
265,20,20,0.0,42,42,0.0
266,19,19,0.0,40,40,0.0
267,24,22,8.33,50,50,16.0
268,19,19,0.0,38,38,0.0
269,27,23,14.81,60,60,26.67
270,14,14,0.0,28,28,0.0
271,18,16,11.11,36,36,22.22
272,23,19,17.39,50,50,22.0
273,22,16,27.27,48,48,47.92
274,24,20,16.67,52,52,30.77
275,28,28,0.0,60,60,0.0
276,20,20,0.0,46,46,0.0
277,25,23,8.0,54,54,12.96
278,26,22,15.38,56,56,28.57
279,24,22,8.33,50,50,16.0
280,22,22,0.0,46,46,0.0
281,20,18,10.0,42,42,7.14
282,30,28,6.67,66,66,12.12
283,16,16,0.0,34,34,0.0
284,28,28,0.0,62,62,0.0
285,25,25,0.0,54,54,0.0
286,23,23,0.0,48,48,0.0
287,24,22,8.33,50,50,6.0
288,28,25,10.71,60,60,16.67
289,21,18,14.29,44,44,25.0
290,24,23,4.17,52,52,3.85
291,20,18,10.0,40,40,12.5
292,20,20,0.0,44,44,0.0
293,13,13,0.0,28,28,0.0
294,23,21,8.7,52,52,15.38
295,23,20,13.04,52,52,19.23
296,19,16,15.79,40,40,30.0
297,15,13,13.33,32,32,9.38
298,24,20,16.67,52,52,30.77
299,21,17,19.05,44,44,36.36
300,28,27,3.57,62,62,6.45
301,30,26,13.33,64,64,18.75
302,28,24,14.29,60,60,26.67
303,22,20,9.09,46,46,17.39
304,18,14,22.22,36,36,30.56
305,15,13,13.33,32,32,21.88
306,19,18,5.26,40,40,5.0
307,18,16,11.11,38,38,18.42
308,22,22,0.0,48,48,0.0
309,19,17,10.53,40,40,10.0
310,18,15,16.67,38,38,21.05
311,26,24,7.69,56,56,5.36
312,33,27,18.18,72,72,33.33
313,27,23,14.81,60,60,26.67
314,18,18,0.0,38,38,0.0
315,26,20,23.08,56,56,42.86
316,26,23,11.54,56,56,17.86
317,26,23,11.54,56,56,17.86
318,19,19,0.0,40,40,0.0
319,22,17,22.73,48,48,41.67
320,23,21,8.7,48,48,16.67
321,26,23,11.54,56,56,17.86
322,24,23,4.17,52,52,3.85
323,23,21,8.7,50,50,16.0
324,15,15,0.0,30,30,0.0
325,21,20,4.76,42,42,4.76
326,20,19,5.0,42,42,4.76
327,16,14,12.5,32,32,25.0
328,20,20,0.0,44,44,0.0
329,23,23,0.0,48,48,0.0
330,15,15,0.0,34,34,0.0
331,22,20,9.09,48,48,16.67
332,23,20,13.04,48,48,20.83
333,27,25,7.41,60,60,5.0
334,20,20,0.0,42,42,0.0
335,26,24,7.69,58,58,13.79
336,26,26,0.0,56,56,0.0
337,17,15,11.76,36,36,22.22
338,18,14,22.22,38,38,23.68
339,19,16,15.79,40,40,27.5
340,20,18,10.0,42,42,19.05
341,29,27,6.9,64,64,12.5
342,29,25,13.79,64,64,17.19
343,23,23,0.0,50,50,0.0
344,21,21,0.0,44,44,0.0
345,19,19,0.0,40,40,0.0
346,22,20,9.09,50,50,16.0
347,22,20,9.09,44,44,9.09
348,24,22,8.33,52,52,15.38
349,21,21,0.0,44,44,0.0
350,32,29,9.38,70,70,14.29
351,27,25,7.41,60,60,13.33
352,20,20,0.0,44,44,0.0
353,29,23,20.69,64,64,37.5
354,31,30,3.23,68,68,2.94
355,23,19,17.39,52,52,30.77
356,27,27,0.0,60,60,0.0
357,29,27,6.9,64,64,12.5
358,22,21,4.55,48,48,8.33
359,30,27,10.0,64,64,7.81
360,22,19,13.64,48,48,25.0
361,21,20,4.76,44,44,9.09
362,26,18,30.77,58,58,32.76
363,15,15,0.0,34,34,0.0
364,21,18,14.29,44,44,22.73
365,27,25,7.41,60,60,11.67
366,30,29,3.33,66,66,3.03
367,22,20,9.09,46,46,17.39
368,23,17,26.09,48,48,41.67
369,19,16,15.79,40,40,27.5
370,19,17,10.53,40,40,20.0
371,32,28,12.5,70,70,22.86
372,24,23,4.17,54,54,7.41
373,24,21,12.5,52,52,19.23
374,29,29,0.0,66,66,0.0
375,31,26,16.13,66,66,27.27
376,26,26,0.0,58,58,0.0
377,30,26,13.33,68,68,23.53
378,17,15,11.76,34,34,11.76
379,21,19,9.52,44,44,6.82
380,23,23,0.0,50,50,0.0
381,24,22,8.33,52,52,15.38
382,25,21,16.0,54,54,29.63
383,16,16,0.0,34,34,0.0
384,30,29,3.33,66,66,3.03
385,20,19,5.0,42,42,4.76
386,21,20,4.76,44,44,4.55
387,19,19,0.0,40,40,0.0
388,25,21,16.0,56,56,28.57
389,28,25,10.71,60,60,16.67
390,22,20,9.09,48,48,16.67
391,17,17,0.0,36,36,0.0
392,18,16,11.11,36,36,22.22
393,22,21,4.55,46,46,8.7
394,25,22,12.0,56,56,17.86
395,33,31,6.06,74,74,10.81
396,27,27,0.0,56,56,0.0
397,25,22,12.0,54,54,18.52
398,25,25,0.0,56,56,0.0
399,20,19,5.0,42,42,4.76
400,28,26,7.14,60,60,13.33
401,30,28,6.67,66,66,12.12
402,27,25,7.41,60,60,13.33
403,25,22,12.0,54,54,18.52
404,19,19,0.0,42,42,0.0
405,20,18,10.0,42,42,9.52
406,28,26,7.14,64,64,12.5
407,21,21,0.0,46,46,0.0
408,17,15,11.76,34,34,14.71
409,18,18,0.0,36,36,0.0
410,27,25,7.41,58,58,8.62
411,24,23,4.17,50,50,4.0
412,24,20,16.67,52,52,30.77
413,22,21,4.55,46,46,4.35
414,19,19,0.0,42,42,0.0
415,22,22,0.0,48,48,0.0
416,29,25,13.79,62,62,25.81
417,25,23,8.0,54,54,14.81
418,25,23,8.0,54,54,14.81
419,26,20,23.08,54,54,35.19
420,28,24,14.29,64,64,25.0
421,23,23,0.0,52,52,0.0
422,23,22,4.35,48,48,4.17
423,31,31,0.0,68,68,0.0
424,24,22,8.33,52,52,15.38
425,15,15,0.0,32,32,0.0
426,25,23,8.0,52,52,15.38
427,20,16,20.0,40,40,30.0
428,23,19,17.39,48,48,22.92
429,20,15,25.0,42,42,42.86
430,17,17,0.0,34,34,0.0
431,24,24,0.0,50,50,0.0
432,21,20,4.76,44,44,4.55
433,26,24,7.69,58,58,13.79
434,22,17,22.73,50,50,36.0
435,23,21,8.7,52,52,15.38
436,20,18,10.0,42,42,19.05
437,20,16,20.0,44,44,36.36
438,19,19,0.0,40,40,0.0
439,21,16,23.81,46,46,45.65
440,22,19,13.64,46,46,21.74
441,24,23,4.17,50,50,4.0
442,25,23,8.0,52,52,15.38
443,24,21,12.5,50,50,20.0
444,24,22,8.33,52,52,15.38
445,25,25,0.0,52,52,0.0
446,22,22,0.0,48,48,0.0
447,23,21,8.7,50,50,16.0
448,25,25,0.0,54,54,0.0
449,27,27,0.0,58,58,0.0
450,22,20,9.09,46,46,8.7
451,36,29,19.44,80,80,32.5
452,33,30,9.09,72,72,13.89
453,20,20,0.0,42,42,0.0
454,28,24,14.29,60,60,26.67
455,26,24,7.69,58,58,13.79
456,17,16,5.88,36,36,5.56
457,23,23,0.0,50,50,0.0
458,21,16,23.81,44,44,40.91
459,34,32,5.88,76,76,10.53
460,23,19,17.39,50,50,32.0
461,27,23,14.81,60,60,26.67
462,25,22,12.0,54,54,18.52
463,24,21,12.5,52,52,23.08
464,25,21,16.0,54,54,20.37
465,26,24,7.69,56,56,14.29
466,19,19,0.0,40,40,0.0
467,25,21,16.0,54,54,25.93
468,22,21,4.55,46,46,4.35
469,27,27,0.0,60,60,0.0
470,16,16,0.0,32,32,0.0
471,22,21,4.55,46,46,4.35
472,18,18,0.0,40,40,0.0
473,23,23,0.0,50,50,0.0
474,23,16,30.43,52,52,55.77
475,21,20,4.76,44,44,4.55
476,25,20,20.0,54,54,33.33
477,17,17,0.0,38,38,0.0
478,20,20,0.0,42,42,0.0
479,14,11,21.43,30,30,36.67
480,21,19,9.52,44,44,18.18
481,26,24,7.69,56,56,14.29
482,29,27,6.9,64,64,12.5
483,20,18,10.0,42,42,19.05
484,25,22,12.0,52,52,19.23
485,21,21,0.0,46,46,0.0
486,23,22,4.35,48,48,4.17
487,25,20,20.0,52,52,28.85
488,15,15,0.0,30,30,0.0
489,23,21,8.7,48,48,6.25
490,26,24,7.69,56,56,14.29
491,18,16,11.11,38,38,21.05
492,33,31,6.06,74,74,10.81
493,25,24,4.0,54,54,3.7
494,24,24,0.0,52,52,0.0
495,22,18,18.18,46,46,34.78
496,23,17,26.09,50,50,48.0
497,16,15,6.25,32,32,6.25
498,22,20,9.09,48,48,16.67
499,19,18,5.26,42,42,4.76
500,25,25,0.0,54,54,0.0
501,19,19,0.0,42,42,0.0
502,27,25,7.41,56,56,8.93
503,23,19,17.39,52,52,30.77
504,31,31,0.0,70,70,0.0
505,22,18,18.18,48,48,31.25
506,16,15,6.25,34,34,11.76
507,28,25,10.71,62,62,19.35
508,33,31,6.06,74,74,10.81
509,27,22,18.52,56,56,32.14
510,28,24,14.29,62,62,25.81
511,21,18,14.29,44,44,25.0
512,18,18,0.0,36,36,0.0
513,30,30,0.0,68,68,0.0
514,16,16,0.0,36,36,0.0
515,24,21,12.5,50,50,20.0
516,26,26,0.0,58,58,0.0
517,25,21,16.0,56,56,28.57
518,21,21,0.0,44,44,0.0
519,16,13,18.75,34,34,29.41
520,24,21,12.5,52,52,23.08
521,27,25,7.41,60,60,13.33
522,22,19,13.64,46,46,21.74
523,22,22,0.0,46,46,0.0
524,25,22,12.0,56,56,21.43
525,23,23,0.0,50,50,0.0
526,26,21,19.23,54,54,24.07
527,31,31,0.0,70,70,0.0
528,20,20,0.0,44,44,0.0
529,20,19,5.0,44,44,4.55
530,24,23,4.17,52,52,3.85
531,21,21,0.0,46,46,0.0
532,23,23,0.0,50,50,0.0
533,22,18,18.18,46,46,28.26
534,25,23,8.0,52,52,15.38
535,23,23,0.0,50,50,0.0
536,23,20,13.04,50,50,16.0
537,26,22,15.38,58,58,27.59
538,22,22,0.0,46,46,0.0
539,29,29,0.0,66,66,0.0
540,16,14,12.5,34,34,23.53
541,21,19,9.52,44,44,13.64
542,24,24,0.0,52,52,0.0
543,26,26,0.0,58,58,0.0
544,26,26,0.0,58,58,0.0
545,20,20,0.0,44,44,0.0
546,22,21,4.55,46,46,4.35
547,25,25,0.0,56,56,0.0
548,28,28,0.0,62,62,0.0
549,21,19,9.52,46,46,17.39
550,22,20,9.09,52,52,15.38
551,23,23,0.0,50,50,0.0
552,19,17,10.53,38,38,7.89
553,23,22,4.35,48,48,4.17
554,20,19,5.0,42,42,4.76
555,29,27,6.9,64,64,10.94
556,28,22,21.43,60,60,40.0
557,22,19,13.64,46,46,21.74
558,19,18,5.26,44,44,9.09
559,20,15,25.0,42,42,42.86
560,23,19,17.39,50,50,22.0
561,28,25,10.71,60,60,16.67
562,27,26,3.7,58,58,3.45
563,21,21,0.0,48,48,0.0
564,18,16,11.11,38,38,21.05
565,25,23,8.0,54,54,14.81
566,26,23,11.54,56,56,17.86
567,28,27,3.57,60,60,3.33
568,26,20,23.08,54,54,35.19
569,26,24,7.69,56,56,5.36
570,27,23,14.81,58,58,18.97
571,23,19,17.39,48,48,33.33
572,27,24,11.11,58,58,17.24
573,19,17,10.53,40,40,7.5
574,25,25,0.0,54,54,0.0
575,20,19,5.0,42,42,4.76
576,25,21,16.0,56,56,28.57
577,22,22,0.0,46,46,0.0
578,34,31,8.82,74,74,13.51
579,25,23,8.0,54,54,9.26
580,20,18,10.0,42,42,19.05
581,21,19,9.52,46,46,17.39
582,22,19,13.64,48,48,22.92
583,26,24,7.69,56,56,14.29
584,29,25,13.79,64,64,25.0
585,27,27,0.0,60,60,0.0
586,33,30,9.09,72,72,13.89
587,18,17,5.56,38,38,5.26
588,27,26,3.7,58,58,3.45
589,22,20,9.09,48,48,16.67
590,21,21,0.0,46,46,0.0
591,23,22,4.35,50,50,4.0
592,21,21,0.0,46,46,0.0
593,28,28,0.0,62,62,0.0
594,21,19,9.52,46,46,13.04
595,28,26,7.14,62,62,12.9
596,25,23,8.0,54,54,14.81
597,22,20,9.09,48,48,16.67
598,24,24,0.0,54,54,0.0
599,23,22,4.35,50,50,8.0
600,19,16,15.79,40,40,27.5
601,19,17,10.53,40,40,7.5
602,20,16,20.0,42,42,38.1
603,21,21,0.0,44,44,0.0
604,18,15,16.67,38,38,26.32
605,24,20,16.67,50,50,22.0
606,19,18,5.26,40,40,5.0
607,18,18,0.0,40,40,0.0
608,18,16,11.11,38,38,21.05
609,33,28,15.15,72,72,23.61
610,21,20,4.76,44,44,4.55
611,15,11,26.67,32,32,50.0
612,26,24,7.69,58,58,13.79
613,20,17,15.0,42,42,23.81
614,27,24,11.11,60,60,16.67
615,25,25,0.0,56,56,0.0
616,26,24,7.69,56,56,10.71
617,26,23,11.54,56,56,19.64
618,25,25,0.0,56,56,0.0
619,27,25,7.41,58,58,13.79
620,18,18,0.0,42,42,0.0
621,24,21,12.5,52,52,19.23
622,25,23,8.0,52,52,15.38
623,27,23,14.81,58,58,27.59
624,30,24,20.0,66,66,33.33
625,17,17,0.0,36,36,0.0
626,24,20,16.67,52,52,30.77
627,20,19,5.0,42,42,4.76
628,20,16,20.0,42,42,26.19
629,25,25,0.0,56,56,0.0
630,21,21,0.0,46,46,0.0
631,24,22,8.33,54,54,14.81
632,26,19,26.92,56,56,48.21
633,14,14,0.0,30,30,0.0
634,31,25,19.35,68,68,35.29
635,26,24,7.69,56,56,14.29
636,20,20,0.0,42,42,0.0
637,24,21,12.5,50,50,18.0
638,25,21,16.0,54,54,29.63
639,25,24,4.0,56,56,8.93
640,24,21,12.5,52,52,17.31
641,16,13,18.75,32,32,15.62
642,30,30,0.0,68,68,0.0
643,27,23,14.81,60,60,26.67
644,23,21,8.7,50,50,16.0
645,32,28,12.5,70,70,15.71
646,25,23,8.0,52,52,15.38
647,24,22,8.33,52,52,5.77
648,33,29,12.12,74,74,21.62
649,21,17,19.05,48,48,31.25
650,28,28,0.0,60,60,0.0
651,27,24,11.11,56,56,17.86
652,24,22,8.33,50,50,16.0
653,21,17,19.05,44,44,34.09
654,27,23,14.81,58,58,27.59
655,20,20,0.0,42,42,0.0
656,25,25,0.0,52,52,0.0
657,27,25,7.41,58,58,13.79
658,11,11,0.0,22,22,0.0
659,17,16,5.88,34,34,5.88
660,24,23,4.17,52,52,3.85
661,19,18,5.26,40,40,5.0
662,21,21,0.0,44,44,0.0
663,22,21,4.55,46,46,4.35
664,31,22,29.03,66,66,46.97
665,14,14,0.0,30,30,0.0
666,14,14,0.0,28,28,0.0
667,23,21,8.7,48,48,16.67
668,18,17,5.56,40,40,12.5
669,27,23,14.81,60,60,26.67
670,27,23,14.81,60,60,25.0
671,21,21,0.0,46,46,0.0
672,28,28,0.0,62,62,0.0
673,27,25,7.41,58,58,13.79
674,20,18,10.0,44,44,18.18
675,27,23,14.81,60,60,26.67
676,26,22,15.38,58,58,25.86
677,18,18,0.0,38,38,0.0
678,30,29,3.33,68,68,5.88
679,17,17,0.0,34,34,0.0
680,31,31,0.0,68,68,0.0
681,27,25,7.41,58,58,13.79
682,25,25,0.0,54,54,0.0
683,24,19,20.83,50,50,36.0
684,21,20,4.76,44,44,4.55
685,21,21,0.0,46,46,0.0
686,24,22,8.33,52,52,15.38
687,24,22,8.33,50,50,10.0
688,30,28,6.67,66,66,12.12
689,21,19,9.52,44,44,18.18
690,29,27,6.9,64,64,12.5
691,27,22,18.52,58,58,22.41
692,13,13,0.0,26,26,0.0
693,22,22,0.0,48,48,0.0
694,22,22,0.0,46,46,0.0
695,18,18,0.0,38,38,0.0
696,20,18,10.0,44,44,15.91
697,21,20,4.76,46,46,4.35
698,15,13,13.33,30,30,13.33
699,25,23,8.0,52,52,7.69
700,14,14,0.0,30,30,0.0
701,22,22,0.0,50,50,0.0
702,22,20,9.09,44,44,18.18
703,21,21,0.0,46,46,0.0
704,23,21,8.7,50,50,16.0
705,15,15,0.0,30,30,0.0
706,17,16,5.88,34,34,5.88
707,25,23,8.0,54,54,14.81
708,29,29,0.0,66,66,0.0
709,24,24,0.0,50,50,0.0
710,19,19,0.0,40,40,0.0
711,18,16,11.11,38,38,21.05
712,18,16,11.11,38,38,21.05
713,26,23,11.54,54,54,18.52
714,31,31,0.0,70,70,0.0
715,32,29,9.38,70,70,14.29
716,22,20,9.09,48,48,16.67
717,20,20,0.0,40,40,0.0
718,25,25,0.0,54,54,0.0
719,28,26,7.14,62,62,12.9
720,31,28,9.68,66,66,15.15
721,22,20,9.09,46,46,17.39
722,18,17,5.56,36,36,5.56
723,21,18,14.29,44,44,27.27
724,25,25,0.0,52,52,0.0
725,23,21,8.7,50,50,16.0
726,25,23,8.0,54,54,14.81
727,25,24,4.0,54,54,3.7
728,22,22,0.0,48,48,0.0
729,31,29,6.45,68,68,11.76
730,21,21,0.0,44,44,0.0
731,25,25,0.0,54,54,0.0
732,30,30,0.0,68,68,0.0
733,22,21,4.55,46,46,8.7
734,22,21,4.55,50,50,10.0
735,31,30,3.23,70,70,2.86
736,22,22,0.0,46,46,0.0
737,24,24,0.0,54,54,0.0
738,26,19,26.92,56,56,39.29
739,23,23,0.0,50,50,0.0
740,26,24,7.69,58,58,13.79
741,12,12,0.0,22,22,0.0
742,26,20,23.08,54,54,38.89
743,25,23,8.0,54,54,14.81
744,19,19,0.0,42,42,0.0
745,26,25,3.85,56,56,3.57
746,24,22,8.33,52,52,15.38
747,28,26,7.14,62,62,11.29
748,17,14,17.65,34,34,29.41
749,25,20,20.0,52,52,25.0
750,17,17,0.0,36,36,0.0
751,32,28,12.5,70,70,17.14
752,24,22,8.33,52,52,5.77
753,22,22,0.0,46,46,0.0
754,23,23,0.0,48,48,0.0
755,24,17,29.17,52,52,50.0
756,24,22,8.33,52,52,15.38
757,25,23,8.0,56,56,14.29
758,23,19,17.39,50,50,28.0
759,20,20,0.0,44,44,0.0
