Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Edge compr. rate
425,136,136,0.0,5590,5590,0.0
426,113,113,0.0,3912,3912,0.0
427,97,97,0.0,2858,2858,0.0
428,136,136,0.0,5698,5698,0.0
429,67,67,0.0,1314,1314,0.0
430,115,115,0.0,4118,4118,0.0
431,146,146,0.0,6346,6346,0.0
432,139,139,0.0,5918,5918,0.0
433,113,113,0.0,3848,3848,0.0
434,138,138,0.0,5792,5792,0.0
435,109,109,0.0,3592,3592,0.0
436,106,106,0.0,3526,3526,0.0
437,78,78,0.0,1872,1872,0.0
438,145,145,0.0,6530,6530,0.0
439,62,62,0.0,1228,1228,0.0
440,125,125,0.0,4736,4736,0.0
441,94,94,0.0,2946,2946,0.0
442,127,127,0.0,4816,4816,0.0
443,117,117,0.0,4202,4202,0.0
444,148,148,0.0,6654,6654,0.0
445,117,117,0.0,4282,4282,0.0
446,137,137,0.0,5736,5736,0.0
447,112,112,0.0,3892,3892,0.0
448,109,109,0.0,3482,3482,0.0
449,107,107,0.0,3544,3544,0.0
450,121,121,0.0,4442,4442,0.0
451,101,101,0.0,3256,3256,0.0
452,134,134,0.0,5424,5424,0.0
453,149,149,0.0,6630,6630,0.0
454,116,116,0.0,4070,4070,0.0
455,83,83,0.0,2158,2158,0.0
456,137,137,0.0,5586,5586,0.0
457,112,112,0.0,3878,3878,0.0
458,79,79,0.0,1988,1988,0.0
459,111,111,0.0,3776,3776,0.0
460,120,120,0.0,4456,4456,0.0
461,114,114,0.0,3902,3902,0.0
462,89,89,0.0,2456,2456,0.0
463,132,132,0.0,5320,5320,0.0
464,117,117,0.0,4070,4070,0.0
465,116,116,0.0,4166,4166,0.0
466,113,113,0.0,3882,3882,0.0
467,96,96,0.0,2806,2806,0.0
468,102,102,0.0,3208,3208,0.0
469,111,111,0.0,3818,3818,0.0
470,141,141,0.0,5946,5946,0.0
471,117,117,0.0,4104,4104,0.0
472,93,93,0.0,2656,2656,0.0
473,146,146,0.0,6336,6336,0.0
474,129,129,0.0,5058,5058,0.0
475,122,122,0.0,4456,4456,0.0
476,132,132,0.0,5352,5352,0.0
477,111,111,0.0,3670,3670,0.0
478,128,128,0.0,4968,4968,0.0
479,108,108,0.0,3516,3516,0.0
480,109,109,0.0,3720,3720,0.0
481,109,109,0.0,3676,3676,0.0
482,81,81,0.0,2102,2102,0.0
483,160,160,0.0,7714,7714,0.0
484,137,137,0.0,5838,5838,0.0
485,94,94,0.0,2708,2708,0.0
486,106,106,0.0,3284,3284,0.0
487,98,98,0.0,2942,2942,0.0
488,144,144,0.0,6140,6140,0.0
489,90,90,0.0,2478,2478,0.0
490,139,139,0.0,5960,5960,0.0
491,173,173,0.0,8916,8916,0.0
492,124,124,0.0,4792,4792,0.0
493,139,139,0.0,5950,5950,0.0
494,101,101,0.0,3126,3126,0.0
495,89,89,0.0,2230,2230,0.0
496,120,120,0.0,4426,4426,0.0
497,142,142,0.0,6096,6096,0.0
498,103,103,0.0,3188,3188,0.0
499,82,82,0.0,1938,1938,0.0
500,133,133,0.0,5398,5398,0.0
501,92,92,0.0,2538,2538,0.0
502,131,131,0.0,5142,5142,0.0
503,140,140,0.0,6016,6016,0.0
504,122,122,0.0,4546,4546,0.0
505,128,128,0.0,5014,5014,0.0
506,77,77,0.0,1688,1688,0.0
507,111,111,0.0,3796,3796,0.0
508,123,123,0.0,4620,4620,0.0
509,77,77,0.0,1760,1760,0.0
510,142,142,0.0,6194,6194,0.0
511,83,83,0.0,2128,2128,0.0
