Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Edge compr. rate
328,71,71,0.0,568,568,0.0
329,70,70,0.0,560,560,0.0
330,71,71,0.0,568,568,0.0
331,69,69,0.0,552,552,0.0
332,70,70,0.0,560,560,0.0
333,73,73,0.0,584,584,0.0
334,72,72,0.0,576,576,0.0
335,71,71,0.0,568,568,0.0
336,48,48,0.0,384,384,0.0
337,72,72,0.0,576,576,0.0
338,74,74,0.0,592,592,0.0
339,73,73,0.0,584,584,0.0
340,69,69,0.0,552,552,0.0
341,75,75,0.0,600,600,0.0
342,70,70,0.0,560,560,0.0
343,68,68,0.0,544,544,0.0
344,71,71,0.0,568,568,0.0
345,69,69,0.0,552,552,0.0
346,74,74,0.0,592,592,0.0
347,73,73,0.0,584,584,0.0
348,69,69,0.0,552,552,0.0
349,72,72,0.0,576,576,0.0
350,73,73,0.0,584,584,0.0
351,75,75,0.0,600,600,0.0
352,73,73,0.0,584,584,0.0
353,70,70,0.0,560,560,0.0
354,72,72,0.0,576,576,0.0
355,75,75,0.0,600,600,0.0
356,46,46,0.0,368,368,0.0
357,67,67,0.0,536,536,0.0
358,73,73,0.0,584,584,0.0
359,69,69,0.0,552,552,0.0
360,73,73,0.0,584,584,0.0
361,73,73,0.0,584,584,0.0
362,72,72,0.0,576,576,0.0
363,72,72,0.0,576,576,0.0
364,70,70,0.0,560,560,0.0
365,70,70,0.0,560,560,0.0
366,72,72,0.0,576,576,0.0
367,69,69,0.0,552,552,0.0
368,74,74,0.0,592,592,0.0
369,71,71,0.0,568,568,0.0
370,74,74,0.0,592,592,0.0
371,70,70,0.0,560,560,0.0
372,75,75,0.0,600,600,0.0
373,69,69,0.0,552,552,0.0
374,72,72,0.0,576,576,0.0
375,75,75,0.0,600,600,0.0
376,70,70,0.0,560,560,0.0
377,67,67,0.0,536,536,0.0
378,74,74,0.0,592,592,0.0
379,69,69,0.0,552,552,0.0
380,73,73,0.0,584,584,0.0
381,74,74,0.0,592,592,0.0
382,75,75,0.0,600,600,0.0
383,71,71,0.0,568,568,0.0
384,70,70,0.0,560,560,0.0
385,71,71,0.0,568,568,0.0
386,71,71,0.0,568,568,0.0
387,69,69,0.0,552,552,0.0
388,74,74,0.0,592,592,0.0
389,71,71,0.0,568,568,0.0
390,75,75,0.0,600,600,0.0
391,74,74,0.0,592,592,0.0
392,75,75,0.0,600,600,0.0
393,72,72,0.0,576,576,0.0
394,70,70,0.0,560,560,0.0
395,74,74,0.0,592,592,0.0
396,75,75,0.0,600,600,0.0
397,69,69,0.0,552,552,0.0
398,72,72,0.0,576,576,0.0
399,70,70,0.0,560,560,0.0
400,75,75,0.0,600,600,0.0
401,72,72,0.0,576,576,0.0
402,71,71,0.0,568,568,0.0
403,73,73,0.0,584,584,0.0
404,73,73,0.0,584,584,0.0
405,73,73,0.0,584,584,0.0
406,71,71,0.0,568,568,0.0
407,68,68,0.0,544,544,0.0
408,71,70,1.41,568,568,3.52
409,70,69,1.43,560,560,4.11
410,73,73,0.0,584,584,0.0
411,70,70,0.0,560,560,0.0
412,74,74,0.0,592,592,0.0
413,74,73,1.35,592,592,3.38
414,75,75,0.0,600,600,0.0
415,71,71,0.0,568,568,0.0
416,75,75,0.0,600,600,0.0
417,74,74,0.0,592,592,0.0
418,68,68,0.0,544,544,0.0
419,72,72,0.0,576,576,0.0
420,73,73,0.0,584,584,0.0
421,66,66,0.0,528,528,0.0
422,74,74,0.0,592,592,0.0
423,69,69,0.0,552,552,0.0
424,71,71,0.0,568,568,0.0
425,73,73,0.0,584,584,0.0
426,75,75,0.0,600,600,0.0
427,68,68,0.0,544,544,0.0
428,46,46,0.0,368,368,0.0
429,71,71,0.0,568,568,0.0
430,68,67,1.47,544,544,4.04
431,74,74,0.0,592,592,0.0
432,75,75,0.0,600,600,0.0
433,66,66,0.0,528,528,0.0
434,75,75,0.0,600,600,0.0
435,71,71,0.0,568,568,0.0
436,71,71,0.0,568,568,0.0
437,70,70,0.0,560,560,0.0
438,75,75,0.0,600,600,0.0
439,75,75,0.0,600,600,0.0
440,75,75,0.0,600,600,0.0
441,72,72,0.0,576,576,0.0
442,68,68,0.0,544,544,0.0
443,73,73,0.0,584,584,0.0
444,75,75,0.0,600,600,0.0
445,73,73,0.0,584,584,0.0
446,71,71,0.0,568,568,0.0
447,74,74,0.0,592,592,0.0
448,72,71,1.39,576,576,3.47
449,65,65,0.0,520,520,0.0
450,75,75,0.0,600,600,0.0
451,70,70,0.0,560,560,0.0
452,74,74,0.0,592,592,0.0
