Graph nr,Original nodes,Reduced nodes,Node compr. rate,Original edges,Reduced edges,Edge compr. rate
277,114,113,0.88,912,892,2.19
278,109,109,0.0,872,872,0.0
279,125,125,0.0,1000,1000,0.0
280,123,123,0.0,984,984,0.0
281,120,120,0.0,960,960,0.0
282,119,119,0.0,952,952,0.0
283,115,115,0.0,920,920,0.0
284,123,121,1.63,984,942,4.27
285,122,122,0.0,976,976,0.0
286,118,118,0.0,944,944,0.0
287,114,114,0.0,912,912,0.0
288,115,115,0.0,920,920,0.0
289,124,123,0.81,992,972,2.02
290,119,119,0.0,952,952,0.0
291,114,114,0.0,912,912,0.0
292,126,126,0.0,1008,1008,0.0
293,121,121,0.0,968,968,0.0
294,114,114,0.0,912,912,0.0
295,114,114,0.0,912,912,0.0
296,121,121,0.0,968,968,0.0
297,117,117,0.0,936,936,0.0
298,122,121,0.82,976,955,2.15
299,118,118,0.0,944,944,0.0
300,118,118,0.0,944,944,0.0
301,121,121,0.0,968,968,0.0
302,119,119,0.0,952,952,0.0
303,114,114,0.0,912,912,0.0
304,115,115,0.0,920,920,0.0
305,115,114,0.87,920,899,2.28
306,121,121,0.0,968,968,0.0
307,115,115,0.0,920,920,0.0
308,114,114,0.0,912,912,0.0
309,116,116,0.0,928,928,0.0
310,119,119,0.0,952,952,0.0
311,104,103,0.96,832,812,2.4
312,110,109,0.91,880,859,2.39
313,117,117,0.0,936,936,0.0
314,105,105,0.0,840,840,0.0
315,116,116,0.0,928,928,0.0
316,119,119,0.0,952,952,0.0
317,114,114,0.0,912,912,0.0
318,124,124,0.0,992,992,0.0
319,119,119,0.0,952,952,0.0
320,119,119,0.0,952,952,0.0
321,118,118,0.0,944,944,0.0
322,115,115,0.0,920,920,0.0
323,110,109,0.91,880,860,2.27
324,102,102,0.0,816,816,0.0
325,116,115,0.86,928,907,2.26
326,118,118,0.0,944,944,0.0
327,109,109,0.0,872,872,0.0
328,117,117,0.0,936,936,0.0
329,118,118,0.0,944,944,0.0
330,120,120,0.0,960,960,0.0
331,116,116,0.0,928,928,0.0
332,113,113,0.0,904,904,0.0
333,122,122,0.0,976,976,0.0
334,119,118,0.84,952,930,2.31
335,115,115,0.0,920,920,0.0
336,111,111,0.0,888,888,0.0
337,118,118,0.0,944,944,0.0
338,119,119,0.0,952,952,0.0
339,117,117,0.0,936,936,0.0
340,120,120,0.0,960,960,0.0
341,121,121,0.0,968,968,0.0
342,117,117,0.0,936,936,0.0
343,122,122,0.0,976,976,0.0
344,120,120,0.0,960,960,0.0
345,115,115,0.0,920,920,0.0
346,114,113,0.88,912,891,2.3
347,117,117,0.0,936,936,0.0
348,123,123,0.0,984,984,0.0
349,125,125,0.0,1000,1000,0.0
350,124,124,0.0,992,992,0.0
351,115,115,0.0,920,920,0.0
352,114,114,0.0,912,912,0.0
353,121,121,0.0,968,968,0.0
354,122,122,0.0,976,976,0.0
355,120,120,0.0,960,960,0.0
356,122,121,0.82,976,954,2.25
357,118,118,0.0,944,944,0.0
358,113,113,0.0,904,904,0.0
359,118,118,0.0,944,944,0.0
360,119,118,0.84,952,933,2.0
361,123,123,0.0,984,984,0.0
